method,seed,trial_id,freezing_ratio,learning_rate,dropout_rate,l2_reg,optimizer,batch_size,val_accuracy,test_accuracy,best_epoch,total_epochs,training_time_seconds,timestamp
genetic_algorithm,1,16,0.7,0.0005,0.3,0.005,adam,32,0.9270386099815369,0.931034505367279,25,36,83.0,2026-05-28T20:57:58.845235
genetic_algorithm,1,17,0.8,0.0005,0.3,0.001,adam,16,0.9055793881416321,0.9137930870056152,3,14,45.5,2026-05-28T20:58:47.647019
genetic_algorithm,1,18,0.95,0.0005,0.3,0.005,adam,32,0.9012875556945801,0.892241358757019,8,19,45.5,2026-05-28T20:59:36.661646
genetic_algorithm,1,19,0.8,0.0005,0.3,0.005,adam,16,0.9356223344802856,0.931034505367279,6,17,52.0,2026-05-28T21:00:32.398804
genetic_algorithm,1,20,0.8,0.001,0.3,0.005,adam,16,0.9442059993743896,0.943965494632721,24,35,70.6,2026-05-28T21:01:46.684735
genetic_algorithm,1,21,0.7,0.0005,0.3,0.02,adam,16,0.9270386099815369,0.9353448152542114,18,29,67.7,2026-05-28T21:02:58.165898
genetic_algorithm,1,22,0.7,0.0001,0.3,0.005,adam,16,0.9227467775344849,0.9224137663841248,20,31,72.7,2026-05-28T21:04:14.991334
genetic_algorithm,1,23,0.7,0.001,0.3,0.005,adam,32,0.9227467775344849,0.9353448152542114,22,33,71.7,2026-05-28T21:05:30.599020
genetic_algorithm,1,24,0.8,0.0005,0.3,0.05,adamw,16,0.9313304424285889,0.9568965435028076,22,33,76.4,2026-05-28T21:06:51.129474
genetic_algorithm,1,25,0.7,0.0001,0.3,0.005,adam,32,0.9184549450874329,0.9353448152542114,17,28,66.7,2026-05-28T21:08:01.972471
genetic_algorithm,1,26,0.7,0.0005,0.3,0.05,adamw,16,0.9313304424285889,0.9353448152542114,14,25,67.5,2026-05-28T21:09:13.595813
genetic_algorithm,1,27,0.8,0.0005,0.3,0.1,adam,32,0.9399141669273376,0.9396551847457886,17,28,61.3,2026-05-28T21:10:19.678547
genetic_algorithm,1,28,0.8,0.0001,0.3,0.05,adam,16,0.9055793881416321,0.9353448152542114,14,25,64.0,2026-05-28T21:11:28.678377
genetic_algorithm,1,29,0.8,0.001,0.3,0.005,adam,32,0.9270386099815369,0.9224137663841248,12,23,59.9,2026-05-28T21:12:33.009558
genetic_algorithm,1,30,0.8,0.0005,0.3,0.005,adam,32,0.9399141669273376,0.9353448152542114,21,32,64.2,2026-05-28T21:13:41.591909
genetic_algorithm,1,31,0.7,0.001,0.3,0.001,adam,32,0.9270386099815369,0.8965517282485962,17,28,68.4,2026-05-28T21:14:54.646212
genetic_algorithm,1,32,0.7,0.001,0.3,0.005,adam,16,0.9270386099815369,0.943965494632721,11,22,63.8,2026-05-28T21:16:03.818441
genetic_algorithm,1,33,0.7,0.0005,0.5,0.05,adamw,32,0.9227467775344849,0.9181034564971924,5,16,59.7,2026-05-28T21:17:09.359335
genetic_algorithm,1,34,0.99,0.0005,0.3,0.1,adam,16,0.8798283338546753,0.9094827771186829,19,30,59.3,2026-05-28T21:18:13.634119
genetic_algorithm,1,35,0.8,0.0005,0.3,0.05,adam,32,0.9227467775344849,0.9267241358757019,11,22,57.0,2026-05-28T21:19:15.720565
